"Account Number","Name","Company","Street","City","State","Zip","Email","Birth Date","Favorites","Standard Payment","Payments","Balance"
"02-080995","Anne P Massey","","Box 804","Island Heights","NJ","08732-0804","riverman@aol.com","10/28/1962","KA","101.00","10.00","18.70"
"02-086709","James R Bettman","","99C Morris Avenue","Union","NJ","07083-7131","fabeles@kean.edu","11/03/1963","AB","169.00","169.00","690.07"
"02-109948","Stephen C Mahar","","One Bert Combs Drive","Prestonsburg","KY","41653-0048","m.alaghi@kctcs.net","04/20/1949","CC","102.00","102.00","27.82"
"02-144181","Ronal S Burris","","1420 Austin Bluffs Parkway","Colorado Springs","CO","80933-7150","r13459@hotmail.com","03/22/1943","XA|TA","108.00","81.72","81.72"
"02-144853","Roy Earl Marsten","","721 Cliff Drive","Santa Barbara","CA","93109-0067","alarcon@sbcc.net","02/18/1975","EB|RB","110.00","111.32","103.43"
"02-159602","Richard J Schonberger","","10110 Tennyson","Plymouth","MI","48170-3650","jarszno@schoolcraft.net","01/22/1980","BA|XA|CC","123.00","123.00","238.14"
"02-163338","Laura B Cardinal","","5690 Pacific Boulevard, #1311","Boca Raton","FL","33433-3998","t456m@juno.com","05/10/1985","BA|SA|AC|MA","136.00","360.00","364.59"
"02-168479","Steve Alsing","","4423 Columbine Way Apt 334","Flagstaff","AZ","86011-5717","alm53@ana.tx","06/31/1956","GA","101.00","18.59","18.59"
"02-172748","Robert B Wenger","","144 Stewart Avenue","Garden City","NY","11530-0114","bladwij@sunnynassau.net","06/10/1973","CA|RB","129.00","129.00","299.48"
"02-210587","Bruno W Repetto","","1730 W 17th Street","Irvine","CA","92604-9987","nthonyy@rccd.org","07/30/1957","XA","101.00","101.00","18.51"
"02-218383","Martin Meckesheimer","","630 Henderson Road","Wapato","WA","98951-****","commun@emad.net","11/25/1970","ED|SA","106.00","60.00","60.77"
"02-223441","Blake Carrington","","Harvard University","Cambridge","MA","02139-9987","bcarrington@harvard.edu","11/25/1970","ED|SA","106.00","0.00","0.00"
"02-232429","Terry Friel","","PO Box 756480","Fairbanks","AK","99775-6480","ffbla@uaf.com","07/02/1945","GA","112.00","120.85","120.85"
"02-235229","Lisa A. Zidek","","2001 Newburg Road","Louisville","KY","40205-1119","bankhead@bellarmine.org","05/11/1951","SA|GA|CA|FA","147.00","147.00","478.36"
"02-264396","Jonathan R Brager","","40 Los Altos Square","Los Altos","CA","94022-1426","","12/15/1978","CB|JA","100.00","6.37","6.37"
"02-271655","Astrid Lipp","","65447 Detroit","Ypsilanti","MI","48197","hlbrant@emuvax.com","02/28/1979","CA|MA","123.00","200.00","236.32"
"02-280799","John B Kirk","","11801 S Coconino Street","Phoenix","AZ","85044-0098","carol@mcmail.net","02/14/1954","MA","113.00","113.00","136.34"
"02-308197","Peder B Gaalaas","","245 Harrelson Box 8205","Raleigh","NC","27695-8205","madams3@swalk.net","10/21/1974","BA|LA|MA|ED","107.00","70.00","74.56"
"02-336632","Edward P Hughes","","7011 Inwood Road","Dallas","TX","75209-4862","ron@airmail.net","01/11/1963","XA","134.00","134.00","344.71"
"02-336991","David Duling","","345 Franklin Street","Cambridge","MA","2139-6475","tryme2@aol.com","07/16/1946","RA","114.00","150.00","142.82"
"02-378114","Robert H Sarikas","","8181 E Irvington Road","Tucson","AZ","85709-4453","armenta@pima.net","04/15/1954","SB","183.00","183.00","834.43"
"02-385862","Thomas Bailey","","CH452 1300 University Boulevard","Birmingham","AL","35294-1170","areeg@operamail.com","10/30/1967","KA","117.00","117.00","170.86"
"02-416262","Ted Williams","","8767 Wayman Boulevard","Statesboro","GA","30461-1170","twill@ganet.com","10/30/1967","KA","117.00","0.00","0.00"
"02-464767","Aldo Casartelli","","291 Newport Avenue, #26","Quincy","MA","2170","utah@lynx.net","06/04/1966","SA|CB","118.00","118.00","183.92"
"02-474061","Kaye McKinzie","","2025 E Johnson Street","Madison","WI","53704-4724","galexand@uwc.edu","07/14/1947","BA|ED","166.00","200.00","667.12"
"02-481473","Jay E Aronson","","One Shields Avenue","Davis","CA","95616-2033","justin@hotmail.com","02/21/1983","KA|ED|SA","112.00","112.00","123.06"
"02-544036","Helen Thomas","","800 W University Parkway","Orem","UT","84058-0012","backusel@uvsc.edu","04/17/1979","AB","113.00","113.00","135.43"
"02-684253","Tracy L Opicka","","719 Cornell","Downers Grove","IL","60515-0023","mymail@juno.com","12/28/1958","CA","148.00","148.00","486.67"
"02-687838","Juan Rosales","","P O Box 158","Imperial","CA","92251-0098","joea@imperial.net","09/14/1957","AB","103.00","103.00","38.78"
"02-709675","Ryan C LaBrie","","7885 Elmstone Circle","Orlando","FL","32822-8864","gacosta@valencia.net","05/19/1978","SB","147.00","188.00","475.39"
"02-710274","Isaiah J Bier","","P O Box 8093","Statesboro","GA","30460-8093","marfa@texaco.com","06/04/1985","XA|BA|CA","105.00","105.00","52.43"
"02-742351","Bruce W Schmeiser","","51 Mannakee Street","Rockville","MD","20850-1195","parrinde@mc.com","06/29/1960","CB|RA","127.00","127.00","277.16"
"02-764708","Philip O Beck","","3600 Bagley Avenue Apartment 204","Los Angeles","CA","90034-4187","abebeh@earthlink.net","01/17/1978","AB|XA","161.00","300.00","615.74"
"02-792777","John L Eatman","","4533 Panhandle","Lubbock","TX","79416-3345","ckleh@ttu.com","05/09/1973","RA","105.00","57.49","57.49"
"02-839224","Charles R Lane","","10840 Cottonwood Lane, #25","Omaha","NE","68164-9001","raadala@metropomcc.net","08/03/1985","JA","111.00","174.30","119.74"
"02-854527","Carla A Vivacqua","","2600 Seventh Avenue","Ketchikan","AK","99901-0001","robert@alaska.net","03/22/1942","CA","121.00","121.00","212.12"
"02-862663","David Harold Withers","","11333 Big Bend","St Louis","MO","63122-0002","mary88@hotmail.com","09/26/1960","FA|SA","143.00","234.87","438.99"
"02-863964","Raul Acevedo","","3437 N Druid Hills Road Apartment B","Decatur","GA","30033-3721","jaarsvo@emory.net","09/16/1959","SA|KA","107.00","58.00","72.70"
"02-875709","Dan Apley","","2334 New York Street","New Orleans","LA","70122-5657","abbott@communique.net","04/18/1940","MA","151.00","200.00","513.25"
"02-943031","Andrew L Johnson","","63 Van de Bogart Road","Woodstock","NY","12498-1923","ronsoc@rock.net","04/06/1970","SB","103.00","40.00","30.64"
"02-943066","William D Calkins","","18111 Nordhoff Street","Northridge","CA","91330-2234","prego@ital.com","06/19/1946","GA","167.00","170.00","670.59"
"02-963157","P George Benson","","452 Pickett","Lexington","KY","40506-4493","habel@uky.com","11/24/1983","EC","128.00","187.40","287.40"
"02-995572","Jeffrey Riggs","","1 Barnard Drive","Oceanside","CA","92056","apalatea@mail.net","07/07/1960","GA|MA","151.00","151.00","513.36"
